listing_id,reg_year,age_years,mileage,avg_annual_mileage,trim,fuel,transmission,engine_litres,body,former_keepers,service_history,seller_type,condition,region,original_list_gbp,asking_price_gbp,retained_pct
AST-071,2020,6,53902,8984,Elite Nav,Petrol,Manual,1.6,Hatchback,4,Partial,Independent dealer,Good,Wales,22000,8015,0.3643
AST-072,2020,6,40335,6722,SRi VX-Line,Petrol,Manual,1.4,Hatchback,5,Full,Franchise dealer,Good,West Midlands,22000,9210,0.4186
AST-073,2020,6,41529,6922,Ultimate,Diesel,Manual,1.5,Sports Tourer,5,None,Independent dealer,Fair,North East,22000,7195,0.327
AST-074,2020,6,38221,6370,Elite Nav,Petrol,Manual,1.5,Hatchback,2,Full,Independent dealer,Good,Scotland,22000,9905,0.4502
AST-075,2020,6,116680,19447,Design,Petrol,Manual,1.6,Hatchback,5,Partial,Private,Fair,Wales,22000,4480,0.2036
AST-076,2019,7,106433,15205,Elite Nav,Petrol,Manual,1.5,Hatchback,4,Partial,Franchise dealer,Excellent,East of England,21000,5975,0.2845
AST-077,2019,7,27959,3994,SRi,Diesel,Manual,1.6,Hatchback,2,Full,Franchise dealer,Good,Wales,21000,9195,0.4379
AST-078,2019,7,51917,7417,Ultimate,Petrol,Manual,1.4,Sports Tourer,5,Partial,Private,Good,Scotland,21000,6325,0.3012
AST-079,2019,7,99002,14143,SRi VX-Line,Petrol,Automatic,1.5,Sports Tourer,2,Full,Private,Good,London,21000,5850,0.2786
AST-080,2019,7,56790,8113,SRi,Petrol,Manual,1.4,Hatchback,2,Full,Independent dealer,Excellent,North East,21000,7700,0.3667
AST-081,2019,7,110871,15839,Ultimate,Petrol,Automatic,1.5,Hatchback,3,Full,Independent dealer,Excellent,North West,21000,6860,0.3267
AST-082,2019,7,126929,18133,Ultimate,Diesel,Automatic,1.2,Hatchback,2,Full,Franchise dealer,Good,London,21000,6735,0.3207
AST-083,2018,8,28243,3530,SRi,Diesel,Manual,1.4,Hatchback,5,Partial,Independent dealer,Good,East of England,20000,6645,0.3322
AST-084,2018,8,48942,6118,Elite Nav,Petrol,Automatic,1.5,Hatchback,6,Partial,Independent dealer,Good,South West,20000,6505,0.3252
AST-085,2018,8,60739,7592,SRi VX-Line,Diesel,Manual,1.4,Hatchback,5,Full,Independent dealer,Excellent,Wales,20000,6395,0.3197
AST-086,2018,8,108109,13514,Design,Diesel,Manual,1.4,Hatchback,4,Partial,Independent dealer,Good,Wales,20000,4445,0.2223
AST-087,2018,8,95916,11990,Design,Petrol,Manual,1.2,Sports Tourer,5,Partial,Independent dealer,Good,South West,20000,4440,0.222
AST-088,2018,8,103278,12910,Elite Nav,Petrol,Manual,1.5,Hatchback,5,None,Independent dealer,Fair,Yorkshire,20000,4935,0.2467
AST-089,2017,9,147547,16394,Design,Petrol,Automatic,1.5,Sports Tourer,4,Full,Independent dealer,Fair,East of England,19500,3540,0.1815
AST-090,2017,9,56317,6257,Design,Diesel,Manual,1.6,Hatchback,1,Full,Independent dealer,Excellent,Scotland,19500,6025,0.309
AST-091,2017,9,80087,8899,SRi VX-Line,Petrol,Automatic,1.6,Sports Tourer,6,Partial,Franchise dealer,Good,North West,19500,6010,0.3082
AST-092,2017,9,143622,15958,Ultimate,Petrol,Manual,1.2,Hatchback,1,Full,Independent dealer,Good,East of England,19500,4610,0.2364
AST-093,2017,9,58310,6479,SRi,Petrol,Manual,1.2,Sports Tourer,5,Full,Independent dealer,Good,Yorkshire,19500,6185,0.3172
AST-094,2017,9,182592,20288,SRi,Petrol,Automatic,1.2,Hatchback,4,Full,Independent dealer,Excellent,London,19500,4280,0.2195
AST-095,2017,9,61682,6854,SRi,Petrol,Manual,1.2,Hatchback,4,Full,Independent dealer,Good,Yorkshire,19500,6170,0.3164
AST-096,2016,10,109750,10975,Ultimate,Petrol,Manual,1.4,Hatchback,5,Partial,Franchise dealer,Good,South West,19000,4920,0.2589
AST-097,2016,10,181288,18129,Ultimate,Petrol,Manual,1.6,Hatchback,5,Full,Franchise dealer,Good,North West,19000,4090,0.2153
AST-098,2016,10,64299,6430,Design,Petrol,Automatic,1.5,Sports Tourer,2,Full,Independent dealer,Fair,North West,19000,5290,0.2784
AST-099,2016,10,207161,20716,Design,Petrol,Automatic,1.6,Hatchback,3,Full,Independent dealer,Excellent,North East,19000,3560,0.1874
AST-100,2016,10,198527,19853,Ultimate,Petrol,Manual,1.6,Hatchback,3,Full,Independent dealer,Good,West Midlands,19000,3685,0.1939
