date,description,paid_in,paid_out,counterparty,property,document,amount,direction,month,text,stream,category,unusual
2025-07-01,COMMERCIAL RENT COMM-04,3200.0,0.0,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202507,3200.0,CASH IN,2025-07,commercial rent comm-04 tenant - kestrel trading ltd,COMMERCIAL RENT COMM-04,Rental income,False
2025-07-03,COMMERCIAL MORTGAGE INTEREST COMM-04,0.0,1450.0,MERIDIAN COMMERCIAL,COMM-04,CMTG-202507,-1450.0,CASH OUT,2025-07,commercial mortgage interest comm-04 meridian commercial,COMMERCIAL MORTGAGE INTEREST COMM-04,Mortgage interest,False
2025-07-05,MANAGING AGENT COMM-04,0.0,256.0,HORIZON COMMERCIAL,COMM-04,INV-HC-202507,-256.0,CASH OUT,2025-07,managing agent comm-04 horizon commercial,MANAGING AGENT COMM-04,Managing agent fees,False
2025-07-15,BUILDINGS INSURANCE COMMERCIAL,0.0,1250.0,ALBION INSURANCE,COMM-04,POL-COMM-2025,-1250.0,CASH OUT,2025-07,buildings insurance commercial albion insurance,BUILDINGS INSURANCE COMMERCIAL,Insurance,True
2025-08-01,COMMERCIAL RENT COMM-04,3200.0,0.0,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202508,3200.0,CASH IN,2025-08,commercial rent comm-04 tenant - kestrel trading ltd,COMMERCIAL RENT COMM-04,Rental income,False
2025-08-03,COMMERCIAL MORTGAGE INTEREST COMM-04,0.0,1450.0,MERIDIAN COMMERCIAL,COMM-04,CMTG-202508,-1450.0,CASH OUT,2025-08,commercial mortgage interest comm-04 meridian commercial,COMMERCIAL MORTGAGE INTEREST COMM-04,Mortgage interest,False
2025-08-05,MANAGING AGENT COMM-04,0.0,256.0,HORIZON COMMERCIAL,COMM-04,INV-HC-202508,-256.0,CASH OUT,2025-08,managing agent comm-04 horizon commercial,MANAGING AGENT COMM-04,Managing agent fees,False
2025-09-01,COMMERCIAL RENT COMM-04,3200.0,0.0,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202509,3200.0,CASH IN,2025-09,commercial rent comm-04 tenant - kestrel trading ltd,COMMERCIAL RENT COMM-04,Rental income,False
2025-09-03,COMMERCIAL MORTGAGE INTEREST COMM-04,0.0,1450.0,MERIDIAN COMMERCIAL,COMM-04,CMTG-202509,-1450.0,CASH OUT,2025-09,commercial mortgage interest comm-04 meridian commercial,COMMERCIAL MORTGAGE INTEREST COMM-04,Mortgage interest,False
2025-09-05,MANAGING AGENT COMM-04,0.0,256.0,HORIZON COMMERCIAL,COMM-04,INV-HC-202509,-256.0,CASH OUT,2025-09,managing agent comm-04 horizon commercial,MANAGING AGENT COMM-04,Managing agent fees,False
2025-10-01,COMMERCIAL RENT COMM-04,3200.0,0.0,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202510,3200.0,CASH IN,2025-10,commercial rent comm-04 tenant - kestrel trading ltd,COMMERCIAL RENT COMM-04,Rental income,False
2025-10-03,COMMERCIAL MORTGAGE INTEREST COMM-04,0.0,1450.0,MERIDIAN COMMERCIAL,COMM-04,CMTG-202510,-1450.0,CASH OUT,2025-10,commercial mortgage interest comm-04 meridian commercial,COMMERCIAL MORTGAGE INTEREST COMM-04,Mortgage interest,False
2025-10-05,MANAGING AGENT COMM-04,0.0,256.0,HORIZON COMMERCIAL,COMM-04,INV-HC-202510,-256.0,CASH OUT,2025-10,managing agent comm-04 horizon commercial,MANAGING AGENT COMM-04,Managing agent fees,False
2025-11-01,COMMERCIAL RENT COMM-04,3200.0,0.0,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202511,3200.0,CASH IN,2025-11,commercial rent comm-04 tenant - kestrel trading ltd,COMMERCIAL RENT COMM-04,Rental income,False
2025-11-03,COMMERCIAL MORTGAGE INTEREST COMM-04,0.0,1450.0,MERIDIAN COMMERCIAL,COMM-04,CMTG-202511,-1450.0,CASH OUT,2025-11,commercial mortgage interest comm-04 meridian commercial,COMMERCIAL MORTGAGE INTEREST COMM-04,Mortgage interest,False
2025-11-05,MANAGING AGENT COMM-04,0.0,256.0,HORIZON COMMERCIAL,COMM-04,INV-HC-202511,-256.0,CASH OUT,2025-11,managing agent comm-04 horizon commercial,MANAGING AGENT COMM-04,Managing agent fees,False
2025-12-01,COMMERCIAL RENT COMM-04,3200.0,0.0,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202512,3200.0,CASH IN,2025-12,commercial rent comm-04 tenant - kestrel trading ltd,COMMERCIAL RENT COMM-04,Rental income,False
2025-12-03,COMMERCIAL MORTGAGE INTEREST COMM-04,0.0,1450.0,MERIDIAN COMMERCIAL,COMM-04,CMTG-202512,-1450.0,CASH OUT,2025-12,commercial mortgage interest comm-04 meridian commercial,COMMERCIAL MORTGAGE INTEREST COMM-04,Mortgage interest,False
2025-12-05,MANAGING AGENT COMM-04,0.0,256.0,HORIZON COMMERCIAL,COMM-04,INV-HC-202512,-256.0,CASH OUT,2025-12,managing agent comm-04 horizon commercial,MANAGING AGENT COMM-04,Managing agent fees,False
2026-01-01,COMMERCIAL RENT COMM-04,3200.0,0.0,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202601,3200.0,CASH IN,2026-01,commercial rent comm-04 tenant - kestrel trading ltd,COMMERCIAL RENT COMM-04,Rental income,False
2026-01-03,COMMERCIAL MORTGAGE INTEREST COMM-04,0.0,1450.0,MERIDIAN COMMERCIAL,COMM-04,CMTG-202601,-1450.0,CASH OUT,2026-01,commercial mortgage interest comm-04 meridian commercial,COMMERCIAL MORTGAGE INTEREST COMM-04,Mortgage interest,False
2026-01-05,MANAGING AGENT COMM-04,0.0,256.0,HORIZON COMMERCIAL,COMM-04,INV-HC-202601,-256.0,CASH OUT,2026-01,managing agent comm-04 horizon commercial,MANAGING AGENT COMM-04,Managing agent fees,False
2026-02-01,COMMERCIAL RENT COMM-04,3200.0,0.0,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202602,3200.0,CASH IN,2026-02,commercial rent comm-04 tenant - kestrel trading ltd,COMMERCIAL RENT COMM-04,Rental income,False
2026-02-03,COMMERCIAL MORTGAGE INTEREST COMM-04,0.0,1450.0,MERIDIAN COMMERCIAL,COMM-04,CMTG-202602,-1450.0,CASH OUT,2026-02,commercial mortgage interest comm-04 meridian commercial,COMMERCIAL MORTGAGE INTEREST COMM-04,Mortgage interest,False
2026-02-05,MANAGING AGENT COMM-04,0.0,256.0,HORIZON COMMERCIAL,COMM-04,INV-HC-202602,-256.0,CASH OUT,2026-02,managing agent comm-04 horizon commercial,MANAGING AGENT COMM-04,Managing agent fees,False
2026-02-10,ACCOUNTANCY FEES,0.0,2100.0,WHITFIELD & CO,UNALLOCATED / COMPANY-WIDE,INV-WC-2310,-2100.0,CASH OUT,2026-02,accountancy fees whitfield & co,ACCOUNTANCY FEES,Professional fees,True
2026-03-01,COMMERCIAL RENT COMM-04,3200.0,0.0,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202603,3200.0,CASH IN,2026-03,commercial rent comm-04 tenant - kestrel trading ltd,COMMERCIAL RENT COMM-04,Rental income,False
2026-03-03,COMMERCIAL MORTGAGE INTEREST COMM-04,0.0,1450.0,MERIDIAN COMMERCIAL,COMM-04,CMTG-202603,-1450.0,CASH OUT,2026-03,commercial mortgage interest comm-04 meridian commercial,COMMERCIAL MORTGAGE INTEREST COMM-04,Mortgage interest,False
2026-03-05,MANAGING AGENT COMM-04,0.0,256.0,HORIZON COMMERCIAL,COMM-04,INV-HC-202603,-256.0,CASH OUT,2026-03,managing agent comm-04 horizon commercial,MANAGING AGENT COMM-04,Managing agent fees,False
