date,description,paid in,paid out,counterparty,property,document
2026-02-07,MANAGEMENT FEE HOUSE-03,,222.00,HORIZON LETTINGS LTD,HOUSE-03,INV-HL-202602-HOUSE-03
2026-02-09,MORTGAGE INTEREST FLAT-01,,520.00,MERIDIAN BANK PLC,FLAT-01,MTG-FLAT-01-202602
2026-02-09,MORTGAGE INTEREST FLAT-02,,410.00,MERIDIAN BANK PLC,FLAT-02,MTG-FLAT-02-202602
2026-02-09,MORTGAGE INTEREST HOUSE-03,,780.00,MERIDIAN BANK PLC,HOUSE-03,MTG-HOUSE-03-202602
2026-02-15,ACCOUNTING SOFTWARE SUBSCRIPTION,,29.99,LEDGERWORKS,,SUB-202602
2026-03-06,RENT FLAT-01 TENANT PAYMENT,1250.00,,LETTINGS CLIENT ACCOUNT,FLAT-01,RENT-FLAT-01-202603
2026-03-06,RENT FLAT-02 TENANT PAYMENT,975.00,,LETTINGS CLIENT ACCOUNT,FLAT-02,RENT-FLAT-02-202603
2026-03-06,RENT HOUSE-03 TENANT PAYMENT,1850.00,,LETTINGS CLIENT ACCOUNT,HOUSE-03,RENT-HOUSE-03-202603
2026-03-07,MANAGEMENT FEE FLAT-01,,125.00,HORIZON LETTINGS LTD,FLAT-01,INV-HL-202603-FLAT-01
2026-03-07,MANAGEMENT FEE FLAT-02,,97.50,HORIZON LETTINGS LTD,FLAT-02,INV-HL-202603-FLAT-02
2026-03-07,MANAGEMENT FEE HOUSE-03,,222.00,HORIZON LETTINGS LTD,HOUSE-03,INV-HL-202603-HOUSE-03
2026-03-09,MORTGAGE INTEREST FLAT-01,,520.00,MERIDIAN BANK PLC,FLAT-01,MTG-FLAT-01-202603
2026-03-09,MORTGAGE INTEREST FLAT-02,,410.00,MERIDIAN BANK PLC,FLAT-02,MTG-FLAT-02-202603
2026-03-09,MORTGAGE INTEREST HOUSE-03,,780.00,MERIDIAN BANK PLC,HOUSE-03,MTG-HOUSE-03-202603
2026-03-15,ACCOUNTING SOFTWARE SUBSCRIPTION,,29.99,LEDGERWORKS,,SUB-202603
